nm	Abs
700.000000	-0.002159
699.000000	-0.001988
698.000000	-0.002075
697.000000	-0.001949
696.000000	-0.001933
695.000000	-0.002020
694.000000	-0.002176
693.000000	-0.002229
692.000000	-0.002153
691.000000	-0.002047
690.000000	-0.002120
689.000000	-0.002072
688.000000	-0.001983
687.000000	-0.002188
686.000000	-0.002046
685.000000	-0.002166
684.000000	-0.002449
683.000000	-0.001885
682.000000	-0.001906
681.000000	-0.002079
680.000000	-0.001944
679.000000	-0.002149
678.000000	-0.002158
677.000000	-0.002060
676.000000	-0.001876
675.000000	-0.002172
674.000000	-0.001992
673.000000	-0.002140
672.000000	-0.002095
671.000000	-0.002039
670.000000	-0.001977
669.000000	-0.001960
668.000000	-0.001719
667.000000	-0.002267
666.000000	-0.002272
665.000000	-0.001983
664.000000	-0.002202
663.000000	-0.001790
662.000000	-0.001914
661.000000	-0.001774
660.000000	-0.001683
659.000000	-0.001829
658.000000	-0.002044
657.000000	-0.002020
656.000000	-0.002128
655.000000	-0.001759
654.000000	-0.001929
653.000000	-0.001789
652.000000	-0.001525
651.000000	-0.001558
650.000000	-0.001621
649.000000	-0.001687
648.000000	-0.001431
647.000000	-0.001841
646.000000	-0.002139
645.000000	-0.001519
644.000000	-0.001502
643.000000	-0.001606
642.000000	-0.001420
641.000000	-0.001375
640.000000	-0.001524
639.000000	-0.001400
638.000000	-0.001520
637.000000	-0.001387
636.000000	-0.001711
635.000000	-0.001516
634.000000	-0.001471
633.000000	-0.001640
632.000000	-0.001318
631.000000	-0.001604
630.000000	-0.001762
629.000000	-0.001621
628.000000	-0.001369
627.000000	-0.001157
626.000000	-0.001219
625.000000	-0.001418
624.000000	-0.001709
623.000000	-0.001319
622.000000	-0.001397
621.000000	-0.001095
620.000000	-0.001174
619.000000	-0.001141
618.000000	-0.001245
617.000000	-0.001481
616.000000	-0.001349
615.000000	-0.001266
614.000000	-0.001370
613.000000	-0.001137
612.000000	-0.001174
611.000000	-0.001187
610.000000	-0.001149
609.000000	-0.001001
608.000000	-0.000955
607.000000	-0.001316
606.000000	-0.001358
605.000000	-0.000951
604.000000	-0.001075
603.000000	-0.000718
602.000000	-0.001004
601.000000	-0.000859
600.000000	-0.000897
599.000000	-0.000768
598.000000	-0.000959
597.000000	-0.000975
596.000000	-0.000979
595.000000	-0.000809
594.000000	-0.001009
593.000000	-0.000963
592.000000	-0.001063
591.000000	-0.000652
590.000000	-0.000553
589.000000	-0.000570
588.000000	-0.000637
587.000000	-0.000579
586.000000	-0.000546
585.000000	-0.000568
584.000000	-0.000581
583.000000	-0.000694
582.000000	-0.000653
581.000000	-0.000726
580.000000	-0.000495
579.000000	-0.000437
578.000000	-0.000244
577.000000	-0.000114
576.000000	-0.000063
575.000000	-0.000380
574.000000	-0.000059
573.000000	0.000249
572.000000	0.000380
571.000000	0.000397
