nm	Abs
700.000000	0.000872
699.000000	0.000688
698.000000	0.000844
697.000000	0.000902
696.000000	0.000779
695.000000	0.000997
694.000000	0.000763
693.000000	0.000833
692.000000	0.000973
691.000000	0.000809
690.000000	0.000788
689.000000	0.000637
688.000000	0.000818
687.000000	0.000925
686.000000	0.000958
685.000000	0.001205
684.000000	0.001095
683.000000	0.001247
682.000000	0.000799
681.000000	0.001240
680.000000	0.001046
679.000000	0.001289
678.000000	0.001063
677.000000	0.001328
676.000000	0.000853
675.000000	0.001254
674.000000	0.001172
673.000000	0.000916
672.000000	0.001313
671.000000	0.001271
670.000000	0.001164
669.000000	0.001189
668.000000	0.001127
667.000000	0.001499
666.000000	0.001248
665.000000	0.001207
664.000000	0.001083
663.000000	0.001153
662.000000	0.000732
661.000000	0.001175
660.000000	0.000807
659.000000	0.001203
658.000000	0.001287
657.000000	0.001035
656.000000	0.001060
655.000000	0.000671
654.000000	0.000924
653.000000	0.001073
652.000000	0.000886
651.000000	0.000861
650.000000	0.000800
649.000000	0.001152
648.000000	0.001045
647.000000	0.001061
646.000000	0.001119
645.000000	0.001041
644.000000	0.001037
643.000000	0.000925
642.000000	0.000892
641.000000	0.001008
640.000000	0.000921
639.000000	0.001145
638.000000	0.001132
637.000000	0.001083
636.000000	0.001174
635.000000	0.001478
634.000000	0.001150
633.000000	0.001154
632.000000	0.000947
631.000000	0.001228
630.000000	0.001270
629.000000	0.001270
628.000000	0.001233
627.000000	0.001374
626.000000	0.001224
625.000000	0.001287
624.000000	0.001129
623.000000	0.001116
622.000000	0.001237
621.000000	0.001026
620.000000	0.001155
619.000000	0.001532
618.000000	0.001258
617.000000	0.001599
616.000000	0.001192
615.000000	0.001392
614.000000	0.001246
613.000000	0.001284
612.000000	0.001238
611.000000	0.001201
610.000000	0.001188
609.000000	0.001180
608.000000	0.001213
607.000000	0.001391
606.000000	0.001312
605.000000	0.001308
604.000000	0.001241
603.000000	0.001267
602.000000	0.001063
601.000000	0.001436
600.000000	0.001146
599.000000	0.001216
598.000000	0.001531
597.000000	0.001349
596.000000	0.001623
595.000000	0.001519
594.000000	0.001254
593.000000	0.001499
592.000000	0.001304
591.000000	0.001234
590.000000	0.001314
589.000000	0.001082
588.000000	0.001332
587.000000	0.001121
586.000000	0.001251
585.000000	0.001298
584.000000	0.000936
583.000000	0.001259
582.000000	0.001307
581.000000	0.001376
580.000000	0.001658
579.000000	0.001504
578.000000	0.001443
577.000000	0.001533
576.000000	0.001504
575.000000	0.001354
574.000000	0.001237
573.000000	0.001280
572.000000	0.001150
571.000000	0.001155
570.000000	0.001332
569.000000	0.001260
568.000000	0.001658
567.000000	0.001806
566.000000	0.001709
565.000000	0.001557
564.000000	0.001599
563.000000	0.001595
562.000000	0.001447
561.000000	0.001481
560.000000	0.001474
559.000000	0.001507
558.000000	0.001700
557.000000	0.001599
556.000000	0.001624
555.000000	0.001591
554.000000	0.001172
553.000000	0.001795
552.000000	0.001536
551.000000	0.001739
550.000000	0.001594
549.000000	0.001811
548.000000	0.001992
547.000000	0.001585
546.000000	0.001941
545.000000	0.001547
544.000000	0.001657
543.000000	0.001408
542.000000	0.001978
541.000000	0.001585
540.000000	0.001839
539.000000	0.001801
538.000000	0.001660
537.000000	0.001766
536.000000	0.001513
535.000000	0.001897
534.000000	0.001906
533.000000	0.001631
532.000000	0.001816
531.000000	0.001842
530.000000	0.001834
529.000000	0.001944
528.000000	0.001918
527.000000	0.001876
526.000000	0.001902
525.000000	0.001910
524.000000	0.001787
523.000000	0.002032
522.000000	0.001816
521.000000	0.002015
520.000000	0.001973
519.000000	0.002179
518.000000	0.002272
517.000000	0.002123
516.000000	0.002165
515.000000	0.002220
514.000000	0.001908
513.000000	0.002402
512.000000	0.002165
511.000000	0.002325
510.000000	0.002159
509.000000	0.002488
508.000000	0.002628
507.000000	0.002580
506.000000	0.002563
505.000000	0.002445
504.000000	0.002492
503.000000	0.002444
502.000000	0.002747
501.000000	0.002363
500.000000	0.002669
499.000000	0.002843
498.000000	0.002606
497.000000	0.002552
496.000000	0.002572
495.000000	0.002794
494.000000	0.002832
493.000000	0.002612
492.000000	0.002809
491.000000	0.002797
490.000000	0.002699
489.000000	0.002807
488.000000	0.003248
487.000000	0.003026
486.000000	0.003236
485.000000	0.003105
484.000000	0.003092
483.000000	0.002950
482.000000	0.002969
481.000000	0.003154
480.000000	0.003254
479.000000	0.003119
478.000000	0.003384
477.000000	0.003423
476.000000	0.003192
475.000000	0.003634
474.000000	0.003155
473.000000	0.003046
472.000000	0.003191
471.000000	0.003158
470.000000	0.003201
469.000000	0.003543
468.000000	0.003612
467.000000	0.003728
466.000000	0.003611
465.000000	0.003634
464.000000	0.003684
463.000000	0.003553
462.000000	0.003655
461.000000	0.003776
460.000000	0.003590
459.000000	0.003725
458.000000	0.003949
457.000000	0.004095
456.000000	0.004394
455.000000	0.004200
454.000000	0.004142
453.000000	0.004015
452.000000	0.004257
451.000000	0.004311
450.000000	0.004316
449.000000	0.004307
448.000000	0.004362
447.000000	0.004643
446.000000	0.004476
445.000000	0.004590
444.000000	0.004464
443.000000	0.005087
442.000000	0.004691
441.000000	0.004793
440.000000	0.005024
439.000000	0.005051
438.000000	0.005024
437.000000	0.005123
436.000000	0.005428
435.000000	0.005888
434.000000	0.005290
433.000000	0.005777
432.000000	0.005835
431.000000	0.005413
430.000000	0.006517
429.000000	0.005221
428.000000	0.006164
427.000000	0.006100
426.000000	0.006464
425.000000	0.006087
424.000000	0.006368
423.000000	0.006586
422.000000	0.006315
421.000000	0.006440
420.000000	0.006483
419.000000	0.006529
418.000000	0.006620
417.000000	0.006677
416.000000	0.006774
415.000000	0.007017
414.000000	0.007329
413.000000	0.007287
412.000000	0.007379
411.000000	0.007655
410.000000	0.008076
409.000000	0.007920
408.000000	0.008062
407.000000	0.008365
406.000000	0.008242
405.000000	0.008749
404.000000	0.008783
403.000000	0.009085
402.000000	0.009308
401.000000	0.009743
400.000000	0.010026
399.000000	0.010004
398.000000	0.010156
397.000000	0.010553
396.000000	0.010798
395.000000	0.010812
394.000000	0.011230
393.000000	0.011365
392.000000	0.011959
391.000000	0.012173
390.000000	0.012582
