nm	Abs
700.000000	0.001188
699.000000	0.001139
698.000000	0.001177
697.000000	0.001497
696.000000	0.001173
695.000000	0.001518
694.000000	0.001453
693.000000	0.001621
692.000000	0.001302
691.000000	0.001520
690.000000	0.001409
689.000000	0.001043
688.000000	0.001302
687.000000	0.001262
686.000000	0.001567
685.000000	0.001473
684.000000	0.001556
683.000000	0.001425
682.000000	0.001211
681.000000	0.001335
680.000000	0.001648
679.000000	0.001554
678.000000	0.001352
677.000000	0.001624
676.000000	0.001650
675.000000	0.001485
674.000000	0.001489
673.000000	0.001465
672.000000	0.001610
671.000000	0.001392
670.000000	0.001524
669.000000	0.001751
668.000000	0.001810
667.000000	0.001637
666.000000	0.001633
665.000000	0.001356
664.000000	0.001191
663.000000	0.001423
662.000000	0.001440
661.000000	0.001482
660.000000	0.001734
659.000000	0.001362
658.000000	0.001532
657.000000	0.001594
656.000000	0.001470
655.000000	0.001404
654.000000	0.001334
653.000000	0.001048
652.000000	0.001314
651.000000	0.001268
650.000000	0.001194
649.000000	0.001272
648.000000	0.001406
647.000000	0.001534
646.000000	0.001543
645.000000	0.001324
644.000000	0.001290
643.000000	0.001203
642.000000	0.001311
641.000000	0.001141
640.000000	0.001494
639.000000	0.001747
638.000000	0.001478
637.000000	0.001478
636.000000	0.001657
635.000000	0.001516
634.000000	0.001450
633.000000	0.001171
632.000000	0.001404
631.000000	0.001142
630.000000	0.001267
629.000000	0.001333
628.000000	0.001687
627.000000	0.001612
626.000000	0.001392
625.000000	0.001587
624.000000	0.001192
623.000000	0.001537
622.000000	0.001279
621.000000	0.001388
620.000000	0.001401
619.000000	0.001646
618.000000	0.001422
617.000000	0.001600
616.000000	0.001438
615.000000	0.001551
614.000000	0.001372
613.000000	0.001293
612.000000	0.001289
611.000000	0.001322
610.000000	0.001617
609.000000	0.001385
608.000000	0.001655
607.000000	0.001497
606.000000	0.001231
605.000000	0.001538
604.000000	0.001547
603.000000	0.001193
602.000000	0.001226
601.000000	0.001338
600.000000	0.001575
599.000000	0.001325
598.000000	0.001513
597.000000	0.001450
596.000000	0.001438
595.000000	0.001642
594.000000	0.001217
593.000000	0.001538
592.000000	0.001214
591.000000	0.001289
590.000000	0.001269
589.000000	0.001412
588.000000	0.001467
587.000000	0.001501
586.000000	0.001457
585.000000	0.001107
584.000000	0.001330
583.000000	0.001361
582.000000	0.001412
581.000000	0.001364
580.000000	0.001256
579.000000	0.001413
578.000000	0.001280
577.000000	0.001572
576.000000	0.001425
575.000000	0.001161
574.000000	0.001360
573.000000	0.001509
572.000000	0.001201
571.000000	0.001346
570.000000	0.001630
569.000000	0.001393
568.000000	0.001507
567.000000	0.001253
566.000000	0.001257
565.000000	0.001435
564.000000	0.001389
563.000000	0.001139
562.000000	0.001406
561.000000	0.001474
560.000000	0.001801
559.000000	0.001470
558.000000	0.001347
557.000000	0.001410
556.000000	0.001444
555.000000	0.001588
554.000000	0.001372
553.000000	0.001588
552.000000	0.001593
551.000000	0.001563
550.000000	0.001436
549.000000	0.001515
548.000000	0.001405
547.000000	0.001519
546.000000	0.001451
545.000000	0.001299
544.000000	0.001438
543.000000	0.001612
542.000000	0.001544
541.000000	0.001917
540.000000	0.001535
539.000000	0.001434
538.000000	0.001209
537.000000	0.001378
536.000000	0.001217
535.000000	0.001564
534.000000	0.001552
533.000000	0.001683
532.000000	0.001446
531.000000	0.001796
530.000000	0.001699
529.000000	0.001691
528.000000	0.001682
527.000000	0.001623
526.000000	0.001437
525.000000	0.001602
524.000000	0.001653
523.000000	0.001691
522.000000	0.001851
521.000000	0.001682
520.000000	0.001922
519.000000	0.001588
518.000000	0.001639
517.000000	0.001596
516.000000	0.001727
515.000000	0.001811
514.000000	0.001887
513.000000	0.001895
512.000000	0.002051
511.000000	0.001948
510.000000	0.001721
509.000000	0.001611
508.000000	0.001952
507.000000	0.001766
506.000000	0.001585
505.000000	0.001787
504.000000	0.001778
503.000000	0.001921
502.000000	0.002199
501.000000	0.002012
500.000000	0.002219
499.000000	0.001962
498.000000	0.001957
497.000000	0.001860
496.000000	0.001969
495.000000	0.002019
494.000000	0.002347
493.000000	0.002213
492.000000	0.002249
491.000000	0.002127
490.000000	0.001845
489.000000	0.001731
488.000000	0.002210
487.000000	0.001777
486.000000	0.002269
485.000000	0.002163
484.000000	0.002063
483.000000	0.002318
482.000000	0.002248
481.000000	0.002561
480.000000	0.002154
479.000000	0.002314
478.000000	0.002271
477.000000	0.002192
476.000000	0.002322
475.000000	0.002075
474.000000	0.002277
