nm	Abs
700.000000	0.001056
699.000000	0.001069
698.000000	0.001004
697.000000	0.001049
696.000000	0.001082
695.000000	0.001172
694.000000	0.001177
693.000000	0.001169
692.000000	0.000915
691.000000	0.001026
690.000000	0.000936
689.000000	0.001096
688.000000	0.001010
687.000000	0.001253
686.000000	0.001126
685.000000	0.001229
684.000000	0.001081
683.000000	0.001806
682.000000	0.001674
681.000000	0.001679
680.000000	0.001819
679.000000	0.001948
678.000000	0.001899
677.000000	0.002068
676.000000	0.001759
675.000000	0.001360
674.000000	0.001385
673.000000	0.001835
672.000000	0.001765
671.000000	0.001963
670.000000	0.001980
669.000000	0.001807
668.000000	0.001936
667.000000	0.001871
666.000000	0.001441
665.000000	0.001409
664.000000	0.001661
663.000000	0.001500
662.000000	0.001360
661.000000	0.001587
660.000000	0.001435
659.000000	0.001625
658.000000	0.001543
657.000000	0.001415
656.000000	0.001490
655.000000	0.001477
654.000000	0.001490
653.000000	0.001395
652.000000	0.001524
651.000000	0.001565
650.000000	0.001864
649.000000	0.001603
648.000000	0.001665
647.000000	0.001624
646.000000	0.001360
645.000000	0.001716
644.000000	0.001542
643.000000	0.001800
642.000000	0.001825
641.000000	0.001725
640.000000	0.001721
639.000000	0.001958
638.000000	0.001659
637.000000	0.001912
636.000000	0.001681
635.000000	0.001751
634.000000	0.001793
633.000000	0.001697
632.000000	0.001860
631.000000	0.001798
630.000000	0.001930
629.000000	0.001813
628.000000	0.001623
627.000000	0.001864
626.000000	0.001656
625.000000	0.001740
624.000000	0.001707
623.000000	0.001706
622.000000	0.001682
621.000000	0.001902
620.000000	0.002080
619.000000	0.001735
618.000000	0.002122
617.000000	0.001997
616.000000	0.001653
615.000000	0.001557
614.000000	0.001874
613.000000	0.001832
612.000000	0.001861
611.000000	0.001969
610.000000	0.001928
609.000000	0.002065
608.000000	0.002031
607.000000	0.001927
606.000000	0.001566
605.000000	0.001894
604.000000	0.001504
603.000000	0.001590
602.000000	0.002027
601.000000	0.001972
600.000000	0.001926
599.000000	0.002006
